"Geo Code","Geo Name","Line Number"
"2021A0011A0A","A0A",2
"2021A0011A0B","A0B",1626
"2021A0011A0C","A0C",3250
"2021A0011A0E","A0E",4874
"2021A0011A0G","A0G",6498
"2021A0011A0H","A0H",8122
"2021A0011A0J","A0J",9746
"2021A0011A0K","A0K",11370
"2021A0011A0L","A0L",12994
"2021A0011A0M","A0M",14618
"2021A0011A0N","A0N",16242
"2021A0011A0P","A0P",17866
"2021A0011A0R","A0R",19490
"2021A0011A1A","A1A",21114
"2021A0011A1B","A1B",22738
"2021A0011A1C","A1C",24362
"2021A0011A1E","A1E",25986
"2021A0011A1G","A1G",27610
"2021A0011A1H","A1H",29234
"2021A0011A1K","A1K",30858
"2021A0011A1L","A1L",32482
"2021A0011A1M","A1M",34106
"2021A0011A1N","A1N",35730
"2021A0011A1S","A1S",37354
"2021A0011A1V","A1V",38978
"2021A0011A1W","A1W",40602
"2021A0011A1X","A1X",42226
"2021A0011A1Y","A1Y",43850
"2021A0011A2A","A2A",45474
"2021A0011A2B","A2B",47098
"2021A0011A2H","A2H",48722
"2021A0011A2N","A2N",50346
"2021A0011A2V","A2V",51970
"2021A0011A5A","A5A",53594
"2021A0011A8A","A8A",55218
"2021A0011B0C","B0C",56842
"2021A0011B0E","B0E",58466
"2021A0011B0H","B0H",60090
"2021A0011B0J","B0J",61714
"2021A0011B0K","B0K",63338
"2021A0011B0L","B0L",64962
"2021A0011B0M","B0M",66586
"2021A0011B0N","B0N",68210
"2021A0011B0P","B0P",69834
"2021A0011B0R","B0R",71458
"2021A0011B0S","B0S",73082
"2021A0011B0T","B0T",74706
"2021A0011B0V","B0V",76330
"2021A0011B0W","B0W",77954
"2021A0011B1A","B1A",79578
"2021A0011B1B","B1B",81202
"2021A0011B1C","B1C",82826
"2021A0011B1E","B1E",84450
"2021A0011B1G","B1G",86074
"2021A0011B1H","B1H",87698
"2021A0011B1J","B1J",89322
"2021A0011B1K","B1K",90946
"2021A0011B1L","B1L",92570
"2021A0011B1M","B1M",94194
"2021A0011B1N","B1N",95818
"2021A0011B1P","B1P",97442
"2021A0011B1R","B1R",99066
"2021A0011B1S","B1S",100690
"2021A0011B1T","B1T",102314
"2021A0011B1V","B1V",103938
"2021A0011B1W","B1W",105562
"2021A0011B1X","B1X",107186
"2021A0011B1Y","B1Y",108810
"2021A0011B2A","B2A",110434
"2021A0011B2C","B2C",112058
"2021A0011B2E","B2E",113682
"2021A0011B2G","B2G",115306
"2021A0011B2H","B2H",116930
